genes	Goterms	Annotation GO Category
A0A1D8NLN8	FAL1-SGD1 complex	Cellular Component
A0A1D8N436		
A0A1D8NDG1	integral component of membrane	Cellular Component
A0A1D8N8H5	basic amino acid transmembrane transporter activity	Molecular Function
A0A1D8N8H5	arginine transport	Biological Process
A0A1D8N8H5	integral component of membrane	Cellular Component
A0A1D8N8H5	cell part	Cellular Component
A0A1D8N8H5	basic amino acid transmembrane transport	Biological Process
A0A1D8NCY8	mitochondrial genome maintenance	Biological Process
A0A1D8NCY8	ATP binding	Molecular Function
A0A1D8NCY8	nucleus	Cellular Component
A0A1D8NCY8	replication fork	Cellular Component
A0A1D8NCY8	mitochondrion	Cellular Component
A0A1D8NCY8	DNA replication	Biological Process
A0A1D8NCY8	DNA repair	Biological Process
A0A1D8NCY8	DNA recombination	Biological Process
A0A1D8NCY8	telomerase inhibitor activity	Molecular Function
A0A1D8NCY8	negative regulation of telomere maintenance via telomerase	Biological Process
A0A1D8NCY8	DNA duplex unwinding	Biological Process
A0A1D8NCY8	ATP-dependent 5'-3' DNA helicase activity	Molecular Function
A0A1D8NCY8	G-quadruplex DNA unwinding	Biological Process
A0A1D8NCY8	negative regulation of telomerase activity	Biological Process
A0A1D8NDD4		
A0A1D8NIV3	6-phosphofructo-2-kinase activity	Molecular Function
A0A1D8NIV3	"fructose-2,6-bisphosphate 2-phosphatase activity"	Molecular Function
A0A1D8NIV3	ATP binding	Molecular Function
A0A1D8NIV3	fructose metabolic process	Biological Process
A0A1D8NIV3	"fructose 2,6-bisphosphate metabolic process"	Biological Process
A0A1D8NIV3	glucose metabolic process	Biological Process
A0A1D8NIV3	dephosphorylation	Biological Process
A0A1D8NIV3	carbohydrate phosphorylation	Biological Process
A0A1H6QCP1	carbohydrate metabolic process	Biological Process
A0A1H6QCP1	carbohydrate binding	Molecular Function
A0A1H6QCP1	glucose-6-phosphate 1-epimerase activity	Molecular Function
A0A1D8N5Y7	integral component of membrane	Cellular Component
A0A1H6PKC1		
A0A1D8NP13	catalytic activity	Molecular Function
A0A1D8NP13	mitotic spindle checkpoint	Biological Process
A0A1D8NJI7		
A0A1D8NA08	integral component of membrane	Cellular Component
A0A1D8NBE5	translation elongation factor activity	Molecular Function
A0A1D8NBE5	glutathione transferase activity	Molecular Function
A0A1D8NBE5	nucleus	Cellular Component
A0A1D8NBE5	cytoplasm	Cellular Component
A0A1D8NBE5	translational elongation	Biological Process
A0A1D8NBE5	glutathione metabolic process	Biological Process
A0A1D8NFI0		
A0A1D8NLQ0	"mitochondrial proton-transporting ATP synthase, central stalk"	Cellular Component
A0A1D8NLQ0	ATP synthesis coupled proton transport	Biological Process
A0A1D8NLQ0	"proton-transporting ATP synthase activity, rotational mechanism"	Molecular Function
A0A1D8NLQ0	"proton-transporting ATPase activity, rotational mechanism"	Molecular Function
A0A1D8NLQ0	ATP hydrolysis coupled cation transmembrane transport	Biological Process
A0A1H6PW12		
A0A1D8NP60		
A0A1D8N632	proteolysis	Biological Process
A0A1D8N632	peptidase activity	Molecular Function
A0A1D8NCS7		
A0A1D8NKI7	Golgi apparatus	Cellular Component
A0A1D8NKI7	protein targeting to vacuole	Biological Process
A0A1D8NKI7	Golgi to vacuole transport	Biological Process
A0A1D8NKI7	protein transporter activity	Molecular Function
A0A1D8NKI7	pathogenesis	Biological Process
A0A1D8NKI7	AP-3 adaptor complex	Cellular Component
A0A1D8NKI7	cytoplasmic vesicle membrane	Cellular Component
A0A1D8NAA5	oxidoreductase activity	Molecular Function
A0A1D8NAA5	oxidation-reduction process	Biological Process
A0A1H6Q1C7		
A0A1D8NPY1	tRNA processing	Biological Process
A0A1D8NPY1	sulfurtransferase activity	Molecular Function
A0A1H6PI85	endoplasmic reticulum membrane	Cellular Component
A0A1H6PI85	dolichol-linked oligosaccharide biosynthetic process	Biological Process
A0A1H6PI85	integral component of membrane	Cellular Component
A0A1H6PI85	transferase activity	Molecular Function
A0A1H6PI85	nuclear membrane	Cellular Component
A0A1D8NQU8	endonuclease activity	Molecular Function
A0A1D8NQU8	mitochondrion	Cellular Component
A0A1D8NQU8	electron transfer activity	Molecular Function
A0A1D8NQU8	integral component of membrane	Cellular Component
A0A1D8NQU8	respiratory electron transport chain	Biological Process
A0A1D8NQU8	nucleic acid phosphodiester bond hydrolysis	Biological Process
A0A1D8NKA0		
A0A1D8NHU6	GTPase activator activity	Molecular Function
A0A1D8NHU6	intracellular protein transport	Biological Process
A0A1D8NHU6	endomembrane system	Cellular Component
A0A1D8NHU6	Rab GTPase binding	Molecular Function
A0A1D8NHU6	negative regulation of septation initiation signaling	Biological Process
A0A1D8NHU6	regulation of vesicle fusion	Biological Process
A0A1D8NHU6	mitotic spindle pole body	Cellular Component
A0A1D8NHU6	activation of GTPase activity	Biological Process
A0A1D8NPN7	double-strand break repair via break-induced replication	Biological Process
A0A1D8NPN7	protein serine/threonine kinase activity	Molecular Function
A0A1D8NPN7	ATP binding	Molecular Function
A0A1D8NPN7	nucleus	Cellular Component
A0A1D8NPN7	cytoplasm	Cellular Component
A0A1D8NPN7	DNA replication initiation	Biological Process
A0A1D8NPN7	phagocytosis	Biological Process
A0A1D8NPN7	regulation of cell shape	Biological Process
A0A1D8NPN7	regulation of cell cycle process	Biological Process
A0A1D8NPN7	peptidyl-serine phosphorylation	Biological Process
A0A1D8NPN7	regulation of nucleobase-containing compound metabolic process	Biological Process
A0A1D8NPN7	negative regulation of cell cycle	Biological Process
A0A1D8NPN7	positive regulation of cellular component organization	Biological Process
A0A1D8NPN7	regulation of nuclear division	Biological Process
A0A1D8NPN7	mitotic cell cycle process	Biological Process
A0A1D8NPN7	regulation of cellular macromolecule biosynthetic process	Biological Process
A0A1D8NHC9	protein transporter activity	Molecular Function
A0A1D8NHC9	mitochondrial intermembrane space protein transporter complex	Cellular Component
A0A1D8NHC9	TIM22 mitochondrial import inner membrane insertion complex	Cellular Component
A0A1D8NHC9	protein import into mitochondrial inner membrane	Biological Process
A0A1D8NHC9	metal ion binding	Molecular Function
A0A1D8NHC9	unfolded protein binding	Molecular Function
A0A1D8NKR3	"DNA-binding transcription factor activity, RNA polymerase II-specific"	Molecular Function
A0A1D8NKR3	nucleus	Cellular Component
A0A1D8NKR3	regulation of transcription by RNA polymerase II	Biological Process
A0A1D8NKR3	zinc ion binding	Molecular Function
A0A1D8NLQ2	plasma membrane	Cellular Component
A0A1D8NLQ2	drug transmembrane transport	Biological Process
A0A1D8NLQ2	polyamine homeostasis	Biological Process
A0A1D8NLQ2	polyamine transmembrane transporter activity	Molecular Function
A0A1D8NLQ2	drug transmembrane transporter activity	Molecular Function
A0A1D8NLQ2	integral component of membrane	Cellular Component
A0A1D8NLQ2	ascospore wall assembly	Biological Process
A0A1D8NLQ2	polyamine transmembrane transport	Biological Process
A0A1H6PZ85	tryptophan biosynthetic process	Biological Process
A0A1H6PZ85	anthranilate synthase activity	Molecular Function
A0A1H6PZ85	anthranilate synthase complex	Cellular Component
A0A1D8N9E1	"DNA-binding transcription factor activity, RNA polymerase II-specific"	Molecular Function
A0A1D8N9E1	RNA polymerase II transcription regulator recruiting activity	Molecular Function
A0A1D8N9E1	nucleus	Cellular Component
A0A1D8N9E1	regulation of transcription by RNA polymerase II	Biological Process
A0A1D8N9E1	integral component of membrane	Cellular Component
A0A1D8N9E1	cell differentiation	Biological Process
A0A1D8N9E1	sequence-specific DNA binding	Molecular Function
A0A1D8N9E1	transcription regulatory region DNA binding	Molecular Function
A0A1D8N9E1	mitotic spindle assembly	Biological Process
A0A1H6QC58	magnesium ion binding	Molecular Function
A0A1H6QC58	aromatic amino acid family catabolic process to alcohol via Ehrlich pathway	Biological Process
A0A1H6QC58	pyruvate decarboxylase activity	Molecular Function
A0A1H6QC58	intracellular	Cellular Component
A0A1H6QC58	ethanol metabolic process	Biological Process
A0A1H6QC58	pyruvate metabolic process	Biological Process
A0A1H6QC58	L-phenylalanine catabolic process	Biological Process
A0A1H6QC58	tryptophan catabolic process	Biological Process
A0A1H6QC58	thiamine pyrophosphate binding	Molecular Function
A0A1H6QC58	branched-chain-2-oxoacid decarboxylase activity	Molecular Function
A0A1D8NQU0		
A0A1H6Q7Z6	carbohydrate:proton symporter activity	Molecular Function
A0A1H6Q7Z6	glucose transmembrane transporter activity	Molecular Function
A0A1H6Q7Z6	integral component of membrane	Cellular Component
A0A1H6Q7Z6	glucose import	Biological Process
A0A1H6Q7Z6	proton transmembrane transport	Biological Process
A0A1D8NHD5	protein serine/threonine kinase activity	Molecular Function
A0A1D8NHD5	ATP binding	Molecular Function
A0A1D8NHD5	peptidyl-serine phosphorylation	Biological Process
A0A1D8NHD5	intracellular signal transduction	Biological Process
A0A1D8NHD5	intracellular part	Cellular Component
A0A1D8NHD5	negative regulation of cellular process	Biological Process
A0A1D8N607		
A0A1D8NJ61	tRNA wobble uridine modification	Biological Process
A0A1D8NJ61	cytosol	Cellular Component
A0A1D8NJ61	protein urmylation	Biological Process
A0A1D8NJ61	tRNA thio-modification	Biological Process
A0A1D8N4J8		
A0A1D8N8R6	iron ion transmembrane transporter activity	Molecular Function
A0A1D8N8R6	mitochondrial inner membrane	Cellular Component
A0A1D8N8R6	integral component of membrane	Cellular Component
A0A1D8N8R6	iron import into the mitochondrion	Biological Process
A0A1D8N8R6	iron ion homeostasis	Biological Process
A0A1D8NK90	FMN binding	Molecular Function
A0A1D8NK90	oxidoreductase activity	Molecular Function
A0A1D8NK90	oxidation-reduction process	Biological Process
A0A1D8NAX3		
A0A1D8NNK9	cell adhesion	Biological Process
A0A1D8NEL6	calcium-dependent cysteine-type endopeptidase activity	Molecular Function
A0A1D8NEL6	cytoplasm	Cellular Component
A0A1D8NEL6	proteolysis	Biological Process
A0A1H6QB18	aspartic-type endopeptidase activity	Molecular Function
A0A1H6QB18	proteolysis	Biological Process
A0A1H6QB18	protein catabolic process	Biological Process
A0A1D8NJV6	Golgi apparatus	Cellular Component
A0A1D8NJV6	integral component of membrane	Cellular Component
A0A1D8NJV6	Rab GTPase binding	Molecular Function
A0A1D8NQP7		
A0A1H6PL07	formation of cytoplasmic translation initiation complex	Biological Process
A0A1H6PL07	translation initiation factor activity	Molecular Function
A0A1H6PL07	cytoplasmic stress granule	Cellular Component
A0A1H6PL07	eukaryotic 43S preinitiation complex	Cellular Component
A0A1H6PL07	translation initiation factor binding	Molecular Function
A0A1H6PL07	eukaryotic 48S preinitiation complex	Cellular Component
A0A1H6PL07	multi-eIF complex	Cellular Component
A0A1H6PL07	"eukaryotic translation initiation factor 3 complex, eIF3e"	Cellular Component
A0A1H6PL07	"eukaryotic translation initiation factor 3 complex, eIF3m"	Cellular Component
A0A1D8NC50		
A0A1H6PSX4	fungal-type vacuole	Cellular Component
A0A1H6PSX4	"glucan 1,4-alpha-glucosidase activity"	Molecular Function
A0A1H6PSX4	polysaccharide metabolic process	Biological Process
A0A1H6PSX4	carbohydrate catabolic process	Biological Process
A0A1D8N3A5	fungal-type vacuole membrane	Cellular Component
A0A1D8N3A5	zinc ion transmembrane transporter activity	Molecular Function
A0A1D8N3A5	integral component of membrane	Cellular Component
A0A1D8N3A5	zinc ion transmembrane transport	Biological Process
A0A1D8N3B0		
A0A1H6PPD6	succinate dehydrogenase activity	Molecular Function
A0A1H6PPD6	tricarboxylic acid cycle	Biological Process
A0A1H6PPD6	electron transfer activity	Molecular Function
A0A1H6PPD6	integral component of membrane	Cellular Component
A0A1H6PPD6	electron transport chain	Biological Process
A0A1H6PPD6	succinate dehydrogenase complex	Cellular Component
A0A1H6PPD6	metal ion binding	Molecular Function
A0A1D8NFL4	phosphatidylserine decarboxylase activity	Molecular Function
A0A1D8NFL4	phosphatidylethanolamine biosynthetic process	Biological Process
A0A1D8NFL4	protein autoprocessing	Biological Process
A0A1D8NFL4	integral component of mitochondrial inner membrane	Cellular Component
A0A1H6PWT8	"D-arabinono-1,4-lactone oxidase activity"	Molecular Function
A0A1H6PWT8	plasma membrane	Cellular Component
A0A1H6PWT8	water-soluble vitamin metabolic process	Biological Process
A0A1H6PWT8	cellular response to starvation	Biological Process
A0A1H6PWT8	pathogenesis	Biological Process
A0A1H6PWT8	integral component of mitochondrial outer membrane	Cellular Component
A0A1H6PWT8	cellular response to oxidative stress	Biological Process
A0A1H6PWT8	filamentous growth of a population of unicellular organisms in response to starvation	Biological Process
A0A1H6PWT8	oxidation-reduction process	Biological Process
A0A1H6PWT8	"dehydro-D-arabinono-1,4-lactone biosynthetic process"	Biological Process
A0A1H6PWT8	FAD binding	Molecular Function
A0A1D8NBI3	carboxy-lyase activity	Molecular Function
A0A1D8NBI3	carboxylic acid metabolic process	Biological Process
A0A1D8NBI3	pyridoxal phosphate binding	Molecular Function
A0A1D8NMT5	transcription coregulator activity	Molecular Function
A0A1D8NMT5	regulation of transcription by RNA polymerase II	Biological Process
A0A1D8NMT5	mediator complex	Cellular Component
A0A1H6PYM6	guanyl-nucleotide exchange factor activity	Molecular Function
A0A1H6PYM6	intracellular	Cellular Component
A0A1H6PYM6	small GTPase mediated signal transduction	Biological Process
A0A1H6PSC1	motor activity	Molecular Function
A0A1H6PSC1	ATP binding	Molecular Function
A0A1H6PSC1	myosin complex	Cellular Component
A0A1H6PSC1	actin filament binding	Molecular Function
A0A1D8NL70	catalase activity	Molecular Function
A0A1D8NL70	mitochondrion	Cellular Component
A0A1D8NL70	peroxisome	Cellular Component
A0A1D8NL70	heme binding	Molecular Function
A0A1D8NL70	response to hydrogen peroxide	Biological Process
A0A1D8NL70	hydrogen peroxide catabolic process	Biological Process
A0A1D8NL70	metal ion binding	Molecular Function
A0A1D8NL70	oxidation-reduction process	Biological Process
A0A1D8NL70	cellular oxidant detoxification	Biological Process
A0A1D8NPM3	integral component of plasma membrane	Cellular Component
A0A1D8NPM3	secondary active sulfate transmembrane transporter activity	Molecular Function
A0A1D8NPM3	sulfate transmembrane transport	Biological Process
A0A1D8NLT4	transcription coregulator activity	Molecular Function
A0A1D8NLT4	regulation of transcription by RNA polymerase II	Biological Process
A0A1D8NLT4	mediator complex	Cellular Component
A0A1D8N6Z5	RNA polymerase II proximal promoter sequence-specific DNA binding	Molecular Function
A0A1D8N6Z5	"RNA polymerase II transcription factor activity, copper ion regulated proximal promoter sequence-specific DNA binding"	Molecular Function
A0A1D8N6Z5	copper ion binding	Molecular Function
A0A1D8N6Z5	nucleus	Cellular Component
A0A1D8N6Z5	cellular copper ion homeostasis	Biological Process
A0A1D8N6Z5	cellular iron ion homeostasis	Biological Process
A0A1D8N6Z5	positive regulation of transcription by RNA polymerase II	Biological Process
A0A1D8N6Z5	cellular response to copper ion	Biological Process
A0A1D8N6Z5	cellular response to acidic pH	Biological Process
A0A1D8NEP0	biotin synthase activity	Molecular Function
A0A1D8NEP0	biotin biosynthetic process	Biological Process
A0A1D8NEP0	metal ion binding	Molecular Function
A0A1D8NEP0	"2 iron, 2 sulfur cluster binding"	Molecular Function
A0A1D8NEP0	"4 iron, 4 sulfur cluster binding"	Molecular Function
A0A1D8NQP3	D-amino-acid oxidase activity	Molecular Function
A0A1D8NQP3	D-amino acid metabolic process	Biological Process
A0A1D8NQP3	oxidation-reduction process	Biological Process
A0A1D8NQP3	FAD binding	Molecular Function
A0A1H6Q4K2	signal transduction	Biological Process
A0A1D8NNX0	carboxypeptidase activity	Molecular Function
A0A1D8NNX0	cytoplasm	Cellular Component
A0A1D8NNX0	proteolysis	Biological Process
A0A1D8NNX0	glutathione catabolic process	Biological Process
A0A1D8NNX0	omega peptidase activity	Molecular Function
A0A1D8NNX0	metal ion binding	Molecular Function
A0A1D8NNX0	fungal biofilm matrix	Cellular Component
A0A1D8NNX0	metallodipeptidase activity	Molecular Function
